dy,ttbar,zz,hzz
0.0,0.00465086,0.181215,0.00340992
0.0,0.0,0.257161,0.00450225
0.0,0.00465086,0.44846,0.00808944
0.0,0.0,0.830071,0.0080008
0.0,0.0,1.80272,0.00801578
0.354797,0.0,4.57354,0.0108945
0.177398,0.0,13.9677,0.00794274
2.60481,0.0,14.0178,0.00950757
0.0,0.0,4.10974,0.0130648
0.0,0.0,1.58934,0.0163568
0.0,0.00465086,0.989974,0.0233832
0.0,0.0,0.839775,0.0334813
0.0,0.0,0.887188,0.0427229
0.0,0.0,0.967021,0.0738129
0.0,0.0,1.07882,0.13282
0.0,0.0,1.27942,0.256384
0.0,0.00465086,1.36681,0.648352
0.177398,0.0,1.4333,2.38742
0.177398,0.0,1.45141,4.87193
0.0,0.0,1.41572,0.944299
0.177398,0.0,1.51464,0.155005
0.0,0.00465086,1.45026,0.0374193
0.0,0.00465086,1.47328,0.0138906
0.0,0.0,1.42899,0.00630364
0.0,0.0,1.38757,0.00419265
0.0,0.0139526,1.33561,0.00358719
0.0,0.0,1.3075,0.00122527
0.0,0.0,1.29831,0.000885718
0.0,0.00465086,1.31402,0.000590479
0.0,0.0,1.30672,0.000885718
0.0,0.0,1.36442,0.000797085
0.0,0.0,1.39256,8.86337e-05
0.177398,0.00465086,1.43472,0.000501845
0.0,0.00465086,1.58321,8.86337e-05
0.0,0.0139526,1.85313,0.000546162
0.0,0.0,2.19304,4.43168e-05
0.0,0.0,2.95083,8.86337e-05
